date,terminal,volume_bbl,total_liquids_mbbl
2020-01-01,ABO,593307.0,0.593307
2020-02-01,ABO,540331.0,0.540331
2020-03-01,ABO,564049.0,0.564049
2020-04-01,ABO,532165.0,0.532165
2020-05-01,ABO,477785.0,0.477785
2020-06-01,ABO,474513.0,0.474513
2020-07-01,ABO,477855.0,0.477855
2020-08-01,ABO,470493.0,0.470493
2020-09-01,ABO,458406.0,0.458406
2020-10-01,ABO,469321.0,0.469321
2020-11-01,ABO,483224.0,0.483224
2020-12-01,ABO,251736.0,0.251736
2021-01-01,ABO,276023.0,0.276023
2021-02-01,ABO,224277.0,0.224277
2021-03-01,ABO,615909.0,0.615909
2021-04-01,ABO,569827.0,0.569827
2021-05-01,ABO,589208.0,0.589208
2021-06-01,ABO,547824.0,0.547824
2021-07-01,ABO,653257.0,0.653257
2021-08-01,ABO,616248.0,0.616248
2021-09-01,ABO,553437.0,0.553437
2021-10-01,ABO,471946.0,0.471946
2021-11-01,ABO,494327.0,0.494327
2021-12-01,ABO,394122.0,0.394122
2022-01-01,ABO,433685.0,0.433685
2022-02-01,ABO,450037.0,0.450037
2022-03-01,ABO,457698.0,0.457698
2022-04-01,ABO,304459.0,0.304459
2022-05-01,ABO,478996.0,0.478996
2022-06-01,ABO,425539.0,0.425539
2022-07-01,ABO,435458.0,0.435458
2022-08-01,ABO,439667.0,0.439667
2022-09-01,ABO,424106.0,0.424106
2022-10-01,ABO,426786.0,0.426786
2022-11-01,ABO,350193.0,0.350193
2022-12-01,ABO,355435.0,0.355435
2023-01-01,ABO,348350.0,0.34835
2023-02-01,ABO,309841.0,0.309841
2023-03-01,ABO,336081.0,0.336081
2023-04-01,ABO,77798.0,0.077798
2023-07-01,ABO,7.0,7e-06
2023-08-01,ABO,76092.0,0.076092
2023-09-01,ABO,421191.0,0.421191
2023-10-01,ABO,318356.0,0.318356
2023-11-01,ABO,350248.0,0.350248
2023-12-01,ABO,364336.0,0.364336
2024-01-01,ABO,343221.0,0.343221
2024-02-01,ABO,308835.0,0.308835
2024-03-01,ABO,323697.0,0.323697
2024-04-01,ABO,310860.0,0.31086
2024-05-01,ABO,311959.0,0.311959
2024-06-01,ABO,317353.0,0.317353
2024-07-01,ABO,343329.0,0.343329
2024-08-01,ABO,367287.0,0.367287
2024-09-01,ABO,360610.0,0.36061
2024-10-01,ABO,364682.0,0.364682
2024-11-01,ABO,346187.0,0.346187
2024-12-01,ABO,372378.0,0.372378
2025-01-01,ABO,381476.0,0.381476
2025-02-01,ABO,340525.0,0.340525
2025-03-01,ABO,373638.0,0.373638
2025-04-01,ABO,356982.0,0.356982
2025-05-01,ABO,368695.0,0.368695
2025-06-01,ABO,338918.0,0.338918
2025-07-01,ABO,364306.0,0.364306
2025-08-01,ABO,379200.0,0.3792
2025-09-01,ABO,365377.0,0.365377
2025-10-01,ABO,380296.0,0.380296
2025-11-01,ABO,340317.0,0.340317
2025-12-01,ABO,338097.0,0.338097
2026-01-01,ABO,269584.0,0.269584
2026-02-01,ABO,249289.0,0.249289
2026-03-01,ABO,256445.0,0.256445
2026-04-01,ABO,236137.0,0.236137
2020-01-01,AGBAMI,4906732.0,4.906732
2020-02-01,AGBAMI,4585683.0,4.585683
2020-03-01,AGBAMI,4813313.0,4.813313
2020-04-01,AGBAMI,4473036.0,4.473036
2020-05-01,AGBAMI,4007356.0,4.007356
2020-06-01,AGBAMI,4442287.0,4.442287
2020-07-01,AGBAMI,4514215.0,4.514215
2020-08-01,AGBAMI,4472719.0,4.472719
2020-09-01,AGBAMI,4054915.0,4.054915
2020-10-01,AGBAMI,3951128.0,3.951128
2020-11-01,AGBAMI,3913292.0,3.913292
2020-12-01,AGBAMI,4315655.0,4.315655
2021-01-01,AGBAMI,4110651.0,4.110651
2021-02-01,AGBAMI,3716031.0,3.716031
2021-03-01,AGBAMI,4006018.0,4.006018
2021-04-01,AGBAMI,3742688.0,3.742688
2021-05-01,AGBAMI,3958343.0,3.958343
2021-06-01,AGBAMI,3464876.0,3.464876
2021-07-01,AGBAMI,3856887.0,3.856887
2021-08-01,AGBAMI,3776988.0,3.776988
2021-09-01,AGBAMI,3634973.0,3.634973
2021-10-01,AGBAMI,3623028.0,3.623028
2021-11-01,AGBAMI,3248698.0,3.248698
2021-12-01,AGBAMI,3452549.0,3.452549
2022-01-01,AGBAMI,3595872.0,3.595872
2022-02-01,AGBAMI,3082309.0,3.082309
2022-03-01,AGBAMI,3520828.0,3.520828
2022-04-01,AGBAMI,3310253.0,3.310253
2022-05-01,AGBAMI,3267056.0,3.267056
2022-06-01,AGBAMI,3184361.0,3.184361
2022-07-01,AGBAMI,3269444.0,3.269444
2022-08-01,AGBAMI,3210045.0,3.210045
2022-09-01,AGBAMI,3074713.0,3.074713
2022-10-01,AGBAMI,3216220.0,3.21622
2022-11-01,AGBAMI,3119822.0,3.119822
2022-12-01,AGBAMI,1205948.0,1.205948
2023-01-01,AGBAMI,3145665.0,3.145665
2023-02-01,AGBAMI,2892072.0,2.892072
2023-03-01,AGBAMI,3175426.0,3.175426
2023-04-01,AGBAMI,2980272.0,2.980272
2023-05-01,AGBAMI,3118978.0,3.118978
2023-06-01,AGBAMI,2710314.0,2.710314
2023-07-01,AGBAMI,3025071.0,3.025071
2023-08-01,AGBAMI,3125994.0,3.125994
2023-09-01,AGBAMI,2778372.0,2.778372
2023-10-01,AGBAMI,2908744.0,2.908744
2023-11-01,AGBAMI,2885846.0,2.885846
2023-12-01,AGBAMI,2930173.0,2.930173
2024-01-01,AGBAMI,2939947.0,2.939947
2024-02-01,AGBAMI,2842766.0,2.842766
2024-03-01,AGBAMI,3006372.0,3.006372
2024-04-01,AGBAMI,2798586.0,2.798586
2024-05-01,AGBAMI,2644292.0,2.644292
2024-06-01,AGBAMI,2768326.0,2.768326
2024-07-01,AGBAMI,2874292.0,2.874292
2024-08-01,AGBAMI,2689634.0,2.689634
2024-09-01,AGBAMI,2757372.0,2.757372
2024-10-01,AGBAMI,2705924.0,2.705924
2024-11-01,AGBAMI,2640895.0,2.640895
2024-12-01,AGBAMI,2116536.0,2.116536
2025-01-01,AGBAMI,2187786.0,2.187786
2025-02-01,AGBAMI,2332663.0,2.332663
2025-03-01,AGBAMI,2519840.0,2.51984
2025-04-01,AGBAMI,2443595.0,2.443595
2025-05-01,AGBAMI,2627017.0,2.627017
2025-06-01,AGBAMI,2242270.0,2.24227
2025-07-01,AGBAMI,2516272.0,2.516272
2025-08-01,AGBAMI,2565335.0,2.565335
2025-09-01,AGBAMI,2343546.0,2.343546
2025-10-01,AGBAMI,2458164.0,2.458164
2025-11-01,AGBAMI,1472570.0,1.47257
2025-12-01,AGBAMI,362617.0,0.362617
2026-01-01,AGBAMI,1680164.0,1.680164
2026-02-01,AGBAMI,1778871.0,1.778871
2026-03-01,AGBAMI,2099846.0,2.099846
2026-04-01,AGBAMI,2012851.0,2.012851
2020-01-01,AJAPA,59540.0,0.05954
2020-02-01,AJAPA,20822.0,0.020822
2020-03-01,AJAPA,10126.0,0.010126
2020-04-01,AJAPA,63167.0,0.063167
2020-05-01,AJAPA,53925.0,0.053925
2020-06-01,AJAPA,32183.0,0.032183
2020-07-01,AJAPA,66587.0,0.066587
2020-08-01,AJAPA,63456.0,0.063456
2020-09-01,AJAPA,64384.0,0.064384
2020-10-01,AJAPA,66240.0,0.06624
2020-11-01,AJAPA,32613.0,0.032613
2020-12-01,AJAPA,63307.0,0.063307
2021-01-01,AJAPA,50375.0,0.050375
2021-02-01,AJAPA,55727.0,0.055727
2021-03-01,AJAPA,46510.0,0.04651
2021-04-01,AJAPA,40301.0,0.040301
2021-05-01,AJAPA,48801.0,0.048801
2021-06-01,AJAPA,27717.0,0.027717
2021-07-01,AJAPA,27332.0,0.027332
2021-08-01,AJAPA,38112.0,0.038112
2021-09-01,AJAPA,16171.0,0.016171
2021-10-01,AJAPA,32549.0,0.032549
2021-11-01,AJAPA,21257.0,0.021257
2021-12-01,AJAPA,26925.0,0.026925
2022-01-01,AJAPA,21257.0,0.021257
2022-02-01,AJAPA,30160.0,0.03016
2022-03-01,AJAPA,27715.0,0.027715
2022-04-01,AJAPA,29321.0,0.029321
2022-07-01,AJAPA,18042.0,0.018042
2022-08-01,AJAPA,20300.0,0.0203
2022-09-01,AJAPA,17176.0,0.017176
2022-10-01,AJAPA,21842.0,0.021842
2022-11-01,AJAPA,16060.0,0.01606
2022-12-01,AJAPA,20979.0,0.020979
2023-01-01,AJAPA,73938.0,0.073938
2023-02-01,AJAPA,48917.0,0.048917
2023-03-01,AJAPA,137225.0,0.137225
2023-04-01,AJAPA,57679.0,0.057679
2023-05-01,AJAPA,46650.0,0.04665
2023-06-01,AJAPA,27878.0,0.027878
2023-08-01,AJAPA,40500.0,0.0405
2023-09-01,AJAPA,5927.0,0.005927
2023-10-01,AJAPA,3016.0,0.003016
2023-11-01,AJAPA,10897.0,0.010897
2023-12-01,AJAPA,41606.0,0.041606
2024-01-01,AJAPA,64543.3,0.0645433
2024-02-01,AJAPA,92586.0,0.092586
2024-03-01,AJAPA,67631.1,0.0676311
2024-04-01,AJAPA,61208.6,0.0612086
2024-05-01,AJAPA,62645.6,0.0626456
2024-06-01,AJAPA,40296.5,0.0402965
2024-07-01,AJAPA,56911.1,0.0569111
2024-08-01,AJAPA,64920.7,0.0649207
2024-09-01,AJAPA,45252.0,0.045252
2024-10-01,AJAPA,49958.0,0.049958
2024-11-01,AJAPA,58846.0,0.058846
2024-12-01,AJAPA,52704.0,0.052704
2025-01-01,AJAPA,120796.0,0.120796
2025-02-01,AJAPA,40447.0,0.040447
2025-03-01,AJAPA,26327.0,0.026327
2025-04-01,AJAPA,28623.0,0.028623
2025-05-01,AJAPA,82996.0,0.082996
2025-06-01,AJAPA,37631.0,0.037631
2025-07-01,AJAPA,38156.0,0.038156
2025-09-01,AJAPA,77500.0,0.0775
2025-10-01,AJAPA,76666.0,0.076666
2025-11-01,AJAPA,77345.0,0.077345
2025-12-01,AJAPA,117361.0,0.117361
2026-01-01,AJAPA,117301.0,0.117301
2026-02-01,AJAPA,84561.0,0.084561
2026-03-01,AJAPA,64717.0,0.064717
2026-04-01,AJAPA,78984.0,0.078984
2020-01-01,AJE,58330.0,0.05833
2020-02-01,AJE,66293.0,0.066293
2020-03-01,AJE,69383.0,0.069383
2020-04-01,AJE,127431.0,0.127431
2020-05-01,AJE,64296.0,0.064296
2020-06-01,AJE,57639.0,0.057639
2020-07-01,AJE,69412.0,0.069412
2020-08-01,AJE,56360.0,0.05636
2020-09-01,AJE,50439.0,0.050439
2020-10-01,AJE,42441.0,0.042441
2020-11-01,AJE,41658.0,0.041658
2020-12-01,AJE,44538.0,0.044538
2021-01-01,AJE,44429.0,0.044429
2021-02-01,AJE,38363.0,0.038363
2021-03-01,AJE,42115.0,0.042115
2021-04-01,AJE,44243.0,0.044243
2021-05-01,AJE,39806.0,0.039806
2021-06-01,AJE,37872.0,0.037872
2021-07-01,AJE,38866.0,0.038866
2021-08-01,AJE,38810.0,0.03881
2021-09-01,AJE,44051.0,0.044051
2021-10-01,AJE,37602.0,0.037602
2021-11-01,AJE,1196.0,0.001196
2020-01-01,AKPO,3100072.0,3.100072
2020-02-01,AKPO,2866461.0,2.866461
2020-03-01,AKPO,3032866.0,3.032866
2020-04-01,AKPO,2833671.0,2.833671
2020-05-01,AKPO,3030827.0,3.030827
2020-06-01,AKPO,2889518.0,2.889518
2020-07-01,AKPO,3049214.0,3.049214
2020-08-01,AKPO,3081016.0,3.081016
2020-09-01,AKPO,2839053.0,2.839053
2020-10-01,AKPO,2943985.0,2.943985
2020-11-01,AKPO,2860368.0,2.860368
2020-12-01,AKPO,3076909.0,3.076909
2021-01-01,AKPO,3041403.0,3.041403
2021-02-01,AKPO,2518196.0,2.518196
2021-03-01,AKPO,2751784.0,2.751784
2021-04-01,AKPO,2818550.0,2.81855
2021-05-01,AKPO,2599618.0,2.599618
2021-06-01,AKPO,2759360.0,2.75936
2021-07-01,AKPO,2503941.0,2.503941
2021-08-01,AKPO,2535168.0,2.535168
2021-09-01,AKPO,2451972.0,2.451972
2021-10-01,AKPO,2629931.0,2.629931
2021-11-01,AKPO,2316585.0,2.316585
2021-12-01,AKPO,2674107.0,2.674107
